"from","to","weight"
"Input","phytoplankton",522650
"Input","benthic diatoms",77803
"Input","dissolved organic carbon",103188
"Input","suspended particulate org",185150.4
"zooplankton","Output",18720.24
"mya arenaria","Output",533.105
"oysters","Output",3133.66
"blue crab","Output",1325.157
"fish larvae","Output",0.9376155
"alewife & blue herring","Output",4.063023
"bay anchovy","Output",96.18159
"menhaden","Output",7.683911
"shad","Output",0.9376006
"croaker","Output",1.334343
"hogchoker","Output",12.21177
"spot","Output",55.79011
"white perch","Output",19.47793
"catfish","Output",28.52167
"bluefish","Output",2.362459
"weakfish","Output",8.336424
"summer flounder","Output",4.237582
"striped bass","Output",4.616097
"phytoplankton","Respiration",239556.2
"bacteria in suspended poc","Respiration",15419.45
"bacteria in sediment poc","Respiration",277306.4
"benthic diatoms","Respiration",27832
"free bacteria","Respiration",84148.43
"heterotrophic microflagel","Respiration",45766.63
"ciliates","Respiration",37288.1
"zooplankton","Respiration",40631.3
"ctenophores","Respiration",6698.692
"sea nettle","Respiration",1119.406
"other suspension feeders","Respiration",3455.933
"mya arenaria","Respiration",1930.28
"oysters","Respiration",3243.631
"other polychaetes","Respiration",19939.52
"nereis","Respiration",1400.185
"macoma spp.","Respiration",24477.17
"meiofauna","Respiration",21384.03
"crustacean deposit feeder","Respiration",7624.739
"blue crab","Respiration",4297.852
"fish larvae","Respiration",0.6251083
"alewife & blue herring","Respiration",8.751126
"bay anchovy","Respiration",761.7415
"menhaden","Respiration",226.883
"shad","Respiration",1.66696
"croaker","Respiration",2.585299
"hogchoker","Respiration",26.81465
"spot","Respiration",129.3927
"white perch","Respiration",41.00617
"catfish","Respiration",58.79467
"bluefish","Respiration",4.906655
"weakfish","Respiration",31.57422
"summer flounder","Respiration",8.475175
"striped bass","Respiration",10.15542
"phytoplankton","ciliates",33671.45
"phytoplankton","zooplankton",39440.67
"phytoplankton","other suspension feeders",4458.031
"phytoplankton","mya arenaria",2415.342
"phytoplankton","oysters",4687.355
"phytoplankton","bay anchovy",294.0877
"phytoplankton","menhaden",22.08312
"phytoplankton","dissolved organic carbon",78834.63
"phytoplankton","suspended particulate org",119270.1
"bacteria in suspended poc","ciliates",1443.316
"bacteria in suspended poc","zooplankton",1131.006
