"from","to"
"V1","V2"
"V1","V3"
"V1","V3A"
"V1","V4"
"V1","V4t"
"V1","MT"
"V1","PO"
"V1","PIP"
"V2","V1"
"V2","V3"
"V2","V3A"
"V2","V4"
"V2","V4t"
"V2","VOT"
"V2","VP"
"V2","MT"
"V2","MSTd/p"
"V2","MSTl"
"V2","PO"
"V2","PIP"
"V2","VIP"
"V2","FST"
"V2","FEF"
"V3","V1"
"V3","V2"
"V3","V3A"
"V3","V4"
"V3","V4t"
"V3","MT"
"V3","MSTd/p"
"V3","PO"
"V3","LIP"
"V3","PIP"
"V3","VIP"
"V3","FST"
"V3","TF"
"V3","FEF"
"V3A","V1"
"V3A","V2"
"V3A","V3"
"V3A","V4"
"V3A","VP"
"V3A","MT"
"V3A","MSTd/p"
"V3A","MSTl"
"V3A","PO"
"V3A","LIP"
"V3A","DP"
"V3A","FST"
"V3A","FEF"
"V4","V1"
"V4","V2"
"V4","V3"
"V4","V3A"
"V4","V4t"
"V4","VOT"
"V4","VP"
"V4","MT"
"V4","LIP"
"V4","PIP"
"V4","DP"
"V4","FST"
"V4","PITd"
"V4","PITv"
"V4","CITd"
"V4","CITv"
"V4","AITv"
"V4","TF"
"V4","TH"
"V4","46"
"V4t","V1"
"V4t","V2"
"V4t","V3"
"V4t","V4"
"V4t","MT"
"V4t","MSTl"
"V4t","PO"
"V4t","FST"
"V4t","FEF"
"VOT","V2"
"VOT","V4"
"VOT","VP"
"VOT","PITd"
"VOT","PITv"
"VP","V2"
"VP","V3A"
"VP","V4"
"VP","VOT"
"VP","MT"
"VP","MSTd/p"
"VP","PO"
"VP","LIP"
"VP","PIP"
"VP","VIP"
"VP","DP"
"VP","FST"
"VP","TF"
"VP","FEF"
"MT","V1"
"MT","V2"
"MT","V3"
"MT","V3A"
"MT","V4"
"MT","V4t"
"MT","VP"
"MT","MSTd/p"
"MT","MSTl"
"MT","PO"
"MT","LIP"
"MT","PIP"
"MT","VIP"
"MT","FST"
"MT","FEF"
"MT","46"
"MSTd/p","V2"
"MSTd/p","V3"
"MSTd/p","V3A"
"MSTd/p","V4t"
"MSTd/p","VP"
"MSTd/p","MT"
"MSTd/p","PO"
"MSTd/p","LIP"
"MSTd/p","VIP"
"MSTd/p","DP"
"MSTd/p","7a"
"MSTd/p","FST"
"MSTd/p","STPp"
"MSTd/p","TF"
"MSTd/p","FEF"
"MSTd/p","46"
"MSTd/p","SMA"
"MSTl","V2"
"MSTl","V3A"
"MSTl","MT"
"MSTl","PO"
"MSTl","VIP"
"MSTl","FST"
"MSTl","STPp"
"MSTl","FEF"
"PO","V1"
"PO","V2"
"PO","V3"
"PO","VP"
"PO","MT"
"PO","MSTd/p"
"PO","MSTl"
"PO","LIP"
"PO","PIP"
"PO","VIP"
"PO","DP"
"PO","7a"
"PO","FEF"
"LIP","V3"
"LIP","V3A"
"LIP","V4"
"LIP","VP"
"LIP","MT"
"LIP","MSTd/p"
"LIP","MSTl"
"LIP","PO"
"LIP","VIP"
"LIP","DP"
"LIP","7a"
"LIP","FST"
"LIP","PITv"
"LIP","TF"
"LIP","FEF"
"LIP","46"
"LIP","5"
"LIP","7b"
"LIP","6"
"LIP","SMA"
"PIP","V1"
"PIP","V3"
"PIP","V4"
"PIP","VP"
"PIP","MT"
"PIP","PO"
"PIP","DP"
"PIP","7a"
"VIP","V3"
"VIP","VP"
"VIP","MT"
"VIP","MSTd/p"
"VIP","MSTl"
"VIP","PO"
"VIP","LIP"
"VIP","7a"
"VIP","FST"
"VIP","FEF"
"VIP","46"
"VIP","3a"
"VIP","1"
"VIP","2"
"VIP","5"
"VIP","SII"
"VIP","7b"
"VIP","4"
"VIP","6"
"VIP","SMA"
"DP","V3A"
"DP","V4"
"DP","MSTd/p"
"DP","MSTl"
"DP","PO"
"DP","LIP"
"DP","PIP"
"DP","7a"
"DP","FST"
"DP","46"
"7a","MSTd/p"
"7a","PO"
"7a","LIP"
"7a","DP"
"7a","AITd"
"7a","TF"
"7a","TH"
"7a","FEF"
"7a","46"
"7a","2"
"FST","V2"
"FST","V3"
"FST","V3A"
"FST","V4"
"FST","V4t"
"FST","VP"
"FST","MT"
"FST","MSTd/p"
"FST","MSTl"
"FST","LIP"
"FST","VIP"
"FST","7a"
"FST","PITd"
"FST","PITv"
"FST","STPp"
"FST","TF"
"FST","FEF"
"PITd","V4"
"PITd","VOT"
"PITd","FST"
"PITd","CITv"
"PITd","AITd"
"PITd","AITv"
"PITd","FEF"
"PITd","46"
"PITv","V4"
"PITv","VOT"
"PITv","LIP"
"PITv","FST"
"PITv","CITv"
"PITv","AITv"
"PITv","TH"
"PITv","FEF"
"PITv","46"
"CITd","V4"
"CITd","PITv"
"CITd","AITd"
"CITd","AITv"
"CITd","STPp"
"CITd","TH"
"CITv","V4"
"CITv","PITd"
"CITv","PITv"
"CITv","AITd"
"CITv","AITv"
"CITv","STPp"
"CITv","TF"
"CITv","TH"
"AITd","7a"
"AITd","PITv"
"AITd","CITv"
"AITd","FEF"
"AITd","46"
"AITv","V4"
"AITv","PITv"
"AITv","CITv"
"AITv","TF"
"AITv","TH"
"STPp","MSTd/p"
"STPp","MSTl"
"STPp","FST"
"STPp","CITd"
"STPp","CITv"
"STPp","STPa"
"STPp","TF"
"STPp","TH"
"STPp","FEF"
"STPp","46"
"STPa","AITd"
"STPa","STPp"
"STPa","TF"
"STPa","TH"
"STPa","46"
"TF","V3"
"TF","V4"
"TF","VP"
"TF","MSTd/p"
"TF","LIP"
"TF","7a"
"TF","FST"
"TF","PITv"
"TF","CITv"
"TF","AITd"
"TF","AITv"
"TF","STPp"
"TF","STPa"
"TF","46"
"TF","5"
"TF","35"
"TF","36"
"TH","V4"
"TH","7a"
"TH","FST"
"TH","PITv"
"TH","CITd"
"TH","CITv"
"TH","AITd"
"TH","AITv"
"TH","STPp"
"TH","STPa"
"TH","46"
"TH","36"
"FEF","V2"
"FEF","V3"
"FEF","V3A"
"FEF","V4t"
