"SourceAP","DestAP"
"FLL","MCO"
"FLL","TPA"
"MCO","FLL"
"MCO","RSW"
"RSW","MCO"
"TPA","FLL"
"LAS","LAX"
"LAX","LAS"
"ATL","CVG"
"ATL","MSP"
"CVG","ATL"
"DTW","MSY"
"JFK","MSY"
"LGA","MSY"
"MEM","MSY"
"MSP","ATL"
"MSP","MSY"
"MSY","DTW"
"MSY","JFK"
"MSY","LGA"
"MSY","MEM"
"MSY","MSP"
"ANC","LAX"
"ANC","PHX"
"ATL","CLT"
"ATL","DFW"
"ATL","MIA"
"ATL","ORD"
"ATL","PHL"
"ATL","PHX"
"AUS","CLT"
"AUS","DFW"
"AUS","JFK"
"AUS","LAX"
"AUS","MSY"
"AUS","ORD"
"AUS","PHL"
"AUS","PHX"
"BNA","CLT"
"BNA","DCA"
"BNA","DFW"
"BNA","JFK"
"BNA","LAX"
"BNA","LGA"
"BNA","MIA"
"BNA","ORD"
"BNA","PHL"
"BOS","CLT"
"BOS","DCA"
"BOS","DFW"
"BOS","JFK"
"BOS","LAX"
"BOS","LGA"
"BOS","MIA"
"BOS","ORD"
"BOS","PDX"
"BOS","PHL"
"BOS","PHX"
"BOS","PIT"
"BOS","SAN"
"BOS","SEA"
"BWI","CLT"
"BWI","DFW"
"BWI","JFK"
"BWI","MIA"
"BWI","ORD"
"BWI","PHL"
"BWI","PHX"
"CLE","CLT"
"CLE","DFW"
"CLE","JFK"
"CLE","MIA"
"CLE","ORD"
"CLE","PHL"
"CLT","ATL"
"CLT","AUS"
"CLT","BNA"
"CLT","BOS"
"CLT","BWI"
"CLT","CLE"
"CLT","CMH"
"CLT","CVG"
"CLT","DCA"
"CLT","DEN"
"CLT","DFW"
"CLT","DTW"
"CLT","EWR"
"CLT","FLL"
"CLT","IAD"
"CLT","IAH"
"CLT","IND"
"CLT","JFK"
"CLT","LAS"
"CLT","LAX"
"CLT","LGA"
"CLT","MCI"
"CLT","MCO"
"CLT","MEM"
"CLT","MIA"
"CLT","MKE"
"CLT","MSP"
"CLT","MSY"
"CLT","ORD"
"CLT","PDX"
"CLT","PHL"
"CLT","PHX"
"CLT","PIT"
"CLT","RDU"
"CLT","RSW"
"CLT","SAN"
"CLT","SAT"
"CLT","SEA"
"CLT","SFO"
"CLT","SLC"
"CLT","SMF"
"CLT","STL"
"CLT","TPA"
"CMH","CLT"
"CMH","DCA"
"CMH","DFW"
"CMH","JFK"
"CMH","LAX"
"CMH","LGA"
"CMH","MIA"
"CMH","ORD"
"CMH","PHL"
"CMH","PHX"
"CVG","CLT"
"CVG","DCA"
"CVG","DFW"
"CVG","JFK"
"CVG","MIA"
"CVG","ORD"
"CVG","PHL"
"DCA","BNA"
"DCA","BOS"
"DCA","CLT"
"DCA","CMH"
