SourceAP,DestAP
ABE,ATL
ABE,CLT
ABE,DTW
ABE,MYR
ABE,ORD
ABE,PGD
ABE,PHL
ABE,PIE
ABE,SFB
ABI,DFW
ABL,OTZ
ABL,SHG
ABQ,ATL
ABQ,BWI
ABQ,CNM
ABQ,DAL
ABQ,DEN
ABQ,DFW
ABQ,HOU
ABQ,IAH
ABQ,JFK
ABQ,LAM
ABQ,LAS
ABQ,LAX
ABQ,MCI
ABQ,MDW
ABQ,MSP
ABQ,OAK
ABQ,ORD
ABQ,PDX
ABQ,PHX
ABQ,SAN
ABQ,SEA
ABQ,SFO
ABQ,SLC
ABR,MSP
ABY,ATL
ACK,BOS
ACK,EWB
ACK,HPN
ACK,HYA
ACK,MVY
ACK,TEB
ACT,DFW
ACV,CEC
ACV,SFO
ACV,SMF
ACY,BOS
ACY,DTW
ACY,FLL
ACY,IAH
ACY,MCO
ACY,MYR
ACY,ORD
ACY,RSW
ACY,TPA
ADK,ANC
ADQ,AKK
ADQ,ANC
ADQ,KLN
AET,BTT
AET,FAI
AET,HUS
AEX,ATL
AEX,DFW
AEX,IAH
AGS,ATL
AGS,CLT
AGS,DCA
AHN,BNA
AIA,CDR
AIN,ATK
AIN,BRW
AKB,DUT
AKK,ADQ
AKN,ANC
AKN,DLG
AKN,PIP
AKN,WSN
AKP,BTT
AKP,FAI
ALB,ATL
ALB,BOS
ALB,BWI
ALB,CLE
ALB,CLT
ALB,DCA
ALB,DTW
ALB,EWR
ALB,FLL
ALB,IAD
ALB,LAS
ALB,MCO
ALB,MDW
ALB,MSP
ALB,MSS
ALB,OGS
ALB,ORD
ALB,PHL
ALB,TPA
ALO,ORD
ALS,DEN
ALS,FMN
ALW,SEA
AMA,DAL
AMA,DEN
AMA,DFW
AMA,IAH
AMA,LAS
AMA,MDW
ANC,ADK
ANC,ADQ
ANC,AKN
ANC,ANI
ANC,BET
ANC,BRW
ANC,CDB
ANC,CDV
ANC,DEN
ANC,DLG
ANC,ENA
ANC,FAI
ANC,HNL
ANC,HOM
ANC,ILI
ANC,JNU
ANC,KSM
ANC,LAS
ANC,LAX
ANC,MCG
ANC,MSP
ANC,OME
ANC,ORD
ANC,OTZ
ANC,PDX
ANC,PHX
ANC,SCC
ANC,SDP
ANC,SEA
ANC,SLC
ANC,SNP
ANC,STG
ANC,UNK
ANC,VDZ
ANI,ANC
ANI,CHU
ANI,HCR
ANI,KLG
ANI,MCG
ANI,RSH
