IATA,Name,City,Lat,Lon
ABE,Lehigh Valley International Airport,Allentown,40.652099609375,-75.44080352783203
ABI,Abilene Regional Airport,Abilene,32.4113006592,-99.68190002440001
ABL,Ambler Airport,Ambler,67.1063,-157.856989
ABQ,Albuquerque International Sunport,Albuquerque,35.040199,-106.609001
ABR,Aberdeen Regional Airport,Aberdeen,45.449100494384766,-98.42179870605469
ABY,Southwest Georgia Regional Airport,Albany,31.535499572753906,-84.19450378417969
ACK,Nantucket Memorial Airport,Nantucket,41.25310135,-70.06020355
ACT,Waco Regional Airport,Waco,31.611299514770508,-97.23049926757812
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA,40.978101,-124.109
ACY,Atlantic City International Airport,Atlantic City,39.45759963989258,-74.57720184326172
ADK,Adak Airport,Adak Island,51.87799835205078,-176.64599609375
ADQ,Kodiak Airport,Kodiak,57.75,-152.4940033
AET,Allakaket Airport,Allakaket,66.5518035889,-152.621994019
AEX,Alexandria International Airport,Alexandria,31.32740020751953,-92.54979705810547
AGN,Angoon Seaplane Base,Angoon,57.503601,-134.585007
AGS,Augusta Regional At Bush Field,Bush Field,33.36989974975586,-81.9645004272461
AHN,Athens Ben Epps Airport,Athens,33.94860076904297,-83.32630157470703
AIA,Alliance Municipal Airport,Alliance,42.0531997681,-102.804000854
AIN,Wainwright Airport,Wainwright,70.6380004883,-159.994995117
AKB,Atka Airport,Atka,52.22029877,-174.2059937
AKK,Akhiok Airport,Akhiok,56.9387016296,-154.182998657
AKN,King Salmon Airport,King Salmon,58.67679977,-156.6490021
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,68.13359833,-151.7429962
ALB,Albany International Airport,Albany,42.74829864501953,-73.80169677734375
ALO,Waterloo Regional Airport,Waterloo,42.557098388671875,-92.40029907226562
ALS,San Luis Valley Regional Bergman Field,Alamosa,37.434898,-105.866997
ALW,Walla Walla Regional Airport,Walla Walla,46.09489822,-118.288002
AMA,Rick Husband Amarillo International Airport,Amarillo,35.219398,-101.706001
ANC,Ted Stevens Anchorage International Airport,Anchorage,61.174400329589844,-149.99600219726562
ANI,Aniak Airport,Aniak,61.581600189208984,-159.54299926757812
ANV,Anvik Airport,Anvik,62.646702,-160.190994
AOO,Altoona Blair County Airport,Altoona,40.29639816,-78.31999969
APF,Naples Municipal Airport,Naples,26.1525993347,-81.7752990723
APN,Alpena County Regional Airport,Alpena,45.0780983,-83.56030273
ARC,Arctic Village Airport,Arctic Village,68.1147,-145.578995
ART,Watertown International Airport,Watertown,43.99190139770508,-76.02169799804688
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,39.22320175,-106.8690033
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,70.46730041503906,-157.43600463867188
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101
ATW,Appleton International Airport,Appleton,44.258098602299995,-88.5190963745
ATY,Watertown Regional Airport,Watertown,44.91400146,-97.15470123
AUG,Augusta State Airport,Augusta,44.320598602299995,-69.7973022461
AUK,Alakanuk Airport,Alakanuk,62.680042266799994,-164.659927368
AUS,Austin Bergstrom International Airport,Austin,30.194499969482422,-97.6698989868164
AVL,Asheville Regional Airport,Asheville,35.43619918823242,-82.54180145263672
AVP,Wilkes Barre Scranton International Airport,Scranton,41.338500976599995,-75.72339630130001
AZA,Phoenix-Mesa-Gateway Airport,Mesa,33.30780029,-111.6549988
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,42.234901428222656,-85.5521011352539
BDL,Bradley International Airport,Windsor Locks,41.9388999939,-72.68319702149999
BET,Bethel Airport,Bethel,60.77980042,-161.8379974
BFD,Bradford Regional Airport,Bradford,41.8031005859375,-78.64009857177734
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,41.87400055,-103.5960007
BFI,Boeing Field King County International Airport,Seattle,47.529998779296875,-122.302001953125
BFL,Meadows Field,Bakersfield,35.43360138,-119.0569992
BGM,Greater Binghamton/Edwin A Link field,Binghamton,42.20869827,-75.97979736
BGR,Bangor International Airport,Bangor,44.80739974975586,-68.8281021118164
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,44.45000076,-68.3615036
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,33.56290054,-86.75350189
BIL,Billings Logan International Airport,Billings,45.807701110839844,-108.54299926757812
BIS,Bismarck Municipal Airport,Bismarck,46.772701263427734,-100.74600219726562
BJI,Bemidji Regional Airport,Bemidji,47.50939941,-94.93370056
BKC,Buckland Airport,Buckland,65.9815979004,-161.149002075
BKG,Branson Airport,Branson,36.532082,-93.200544
BKW,Raleigh County Memorial Airport,Beckley,37.787300109899995,-81.1241989136
BLI,Bellingham International Airport,Bellingham,48.79280090332031,-122.53800201416016
BLV,Scott AFB/Midamerica Airport,Belleville,38.5452,-89.835197
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,40.47710037,-88.91590118
BNA,Nashville International Airport,Nashville,36.1245002746582,-86.6781997680664
BOI,Boise Air Terminal/Gowen Field,Boise,43.5644,-116.223
BOS,General Edward Lawrence Logan International Airport,Boston,42.36429977,-71.00520325
BPT,Southeast Texas Regional Airport,Beaumont,29.9507999420166,-94.02069854736328
BQK,Brunswick Golden Isles Airport,Brunswick,31.258800506591797,-81.46649932861328
BRD,Brainerd Lakes Regional Airport,Brainerd,46.39830017,-94.13809967
BRL,Southeast Iowa Regional Airport,Burlington,40.783199310302734,-91.12550354003906
BRO,Brownsville South Padre Island International Airport,Brownsville,25.90679931640625,-97.4259033203125
BRW,Wiley Post Will Rogers Memorial Airport,Barrow,71.285402,-156.766008
BTI,Barter Island LRRS Airport,Barter Island,70.1340026855,-143.582000732
BTM,Bert Mooney Airport,Butte,45.95479965209961,-112.49700164794922
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,30.533199,-91.149597
BTT,Bettles Airport,Bettles,66.91390228,-151.529007
BTV,Burlington International Airport,Burlington,44.471900939899996,-73.15329742429999
BUF,Buffalo Niagara International Airport,Buffalo,42.94049835,-78.73220062
BUR,Bob Hope Airport,Burbank,34.20069885253906,-118.35900115966797
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,39.1754,-76.668297
BZN,Gallatin Field,Bozeman,45.77750015,-111.1529999
CAE,Columbia Metropolitan Airport,Columbia,33.93880081176758,-81.11949920654297
CAK,Akron Canton Regional Airport,Akron,40.916099548339844,-81.44219970703125
CDB,Cold Bay Airport,Cold Bay,55.20610046386719,-162.72500610351562
CDC,Cedar City Regional Airport,Cedar City,37.70100021362305,-113.0989990234375
CDR,Chadron Municipal Airport,Chadron,42.837600708,-103.095001221
CDV,Merle K (Mudhole) Smith Airport,Cordova,60.4917984,-145.4779968
